Task,Track,Priority,Status,Due Date,Scheduled Follow-up,Notes
Create central project folder,Execution system,High,Done,2026-05-27,2026-05-27 22:30,Google Drive workspace created
Redesign account menu and settings IA around real profile navigation,Product,High,In progress,2026-05-29,2026-06-01 10:00,Profile/settings screen now replaces the visible role chooser with a profile-style entry surface plus sections for profile settings notifications locations and security; the prototype now includes a real profile drawer interaction with help and logout placement plus navigation back into orders saved cakes and settings, the session center now reads real backend session records with current-session logout plus sign-out-other-sessions controls, and backend discovery now prefers current 4224/4222 instances while requiring admin-team compatibility so the profile/security surface stops drifting into stale 4216. Production auth methods and true cross-device invalidation beyond the demo backend still remain
Add multi-location owner account model and location switching UX,Product,High,In progress,2026-05-29,2026-06-01 09:15,Rohit wants one owner account to manage multiple shop locations under one login with per-location billing and the ability to apply products staff and settings to one location or many locations at once; the prototype now hydrates real owner-managed locations from the backend, bulk apply writes scoped shop settings for selected locations, the active owner workspace scopes queue summary pickup slots and staff options by selected location with backend enforcement for the owner-managed shop set, and the account/settings surface now edits the active location template against the real backend instead of stopping at bulk presets, but broader cross-location staffing rules and deeper pricing governance still remain
Design settings architecture for general notifications personalization API billing storage favorites security and scheduling,Product,Medium,In progress,2026-05-29,2026-06-01 09:30,Rohit requested a fuller settings information architecture instead of the current demo-role surface; clear sections now exist in the prototype, but deeper settings actions and future-ready admin shop-owner controls still need interaction design
Create master task tracker sheet,Execution system,High,Done,2026-05-27,2026-05-27 22:30,Sheet created in Google workspace
Create core product doc set,Execution system,High,Done,2026-05-27,2026-05-27 22:30,Product structure and launch plan created
Refine cake builder UX,Product,High,In progress,2026-05-28,2026-06-01 11:00,Cake-first layer-first interaction is live in the prototype with mode-aware cake choices layer limits and layer editing; layer continuity now preserves overlapping customizations when mode occasion or layer count changes, and builder shortcuts now let the user reset the active layer to the occasion preset or apply it across all layers plus jump via per-layer summary chips. Remaining work is broader visual polish and deeper premium/template refinement rather than core flow correctness
Define pricing logic,Product,High,Done,2026-05-27,2026-05-28 09:00,Pricing/revenue doc created
Define saved designs and favorites,Product,Medium,Done,2026-05-28,2026-05-29 17:38,Saved designs now read from the companion backend and can reorder against a live pickup slot load back into the builder persist favorites across sessions/devices through the companion backend add directly into checkout highlight the latest save and show customer order history plus the latest pickup-notification timeline; cards are now sorted by favorites and recent usage, surface each design's latest order activity, checkout-created orders now preserve the saved-design link when the customer starts from a saved cake, saved-design checkout now also carries the originating shop into cart and checkout so bakery selection and pickup windows stay aligned, customer saved-design reads now span all of the signed-in customer's bakery contexts instead of being pinned to shop-1, the builder can now save directly against the selected bakery, and backend probing now also requires the newer owner-location plus auth-session contract while preferring isolated current-source ports so this flow does not silently attach to stale servers first
Define simple mode for non-technical users,Product,High,Done,2026-05-28,2026-05-28 10:30,Implemented quick-order path with tighter cake choices capped layer range and reduced per-layer controls alongside advanced builder
Define account system,Product,High,In progress,2026-05-28,2026-06-01 10:15,Prototype now supports explicit per-role demo session sign-out and reconnect plus live access checks that verify allowed and denied routes against the backend; customer-facing checkout and saved screens surface session clarity more directly, the account surface has been reframed around one real profile/settings entry and drawer instead of a visible role picker, checkout now also states whether the active cart item is linked to a saved design and which bakery that cart item is actually checking out against, and the profile/security flow now includes a visible session center plus backend-hydrated owner location scope with an active operations-location selector and real per-location template editing. Session intent now persists across refresh with reconnect-on-refresh preferences, per-role device/sign-in/last-verified metadata, a restore-baseline control, and visible per-session revoke actions for non-current backend sessions, while both the prototype and verify-integration now prefer current 4224/4222 backends and require admin-team compatibility so session/security flows stop auto-binding to stale 4216. Production login methods and true cross-device invalidation beyond the demo backend still remain
Define multi-tenant model,Product,High,Done,2026-05-27,2026-05-28 10:00,Covered in architecture outline and product docs
Define order workflow,Operations,High,In progress,2026-05-28,2026-06-01 14:30,Prototype now consumes live status metadata from the companion backend and supports owner queue selection order-detail fetches status mutation plus queue exception surfacing for missing notes missing pickup assignment and slot-risk triage; generic picked-up mutation has been replaced by the explicit backend pickup-completion flow so owner handoff metadata is preserved in the UI; lifecycle transitions are now guarded in the backend so orders cannot skip from early production straight to picked up and pickup completion only succeeds from ready; queue rows now carry backend-generated attention flags and queue-level attention counts so unassigned production work paused-slot exposure and support disputes are triaged consistently; admin refund execution now runs through an explicit dispute-backed refund action that records amount decision metadata and customer notification state; and customers can now self-cancel their own new or confirmed orders before production starts, with the order history UI reflecting cancellation reason and refund follow-up state. Deeper staffing coverage and delivery-side exception handling still remain
Define pickup workflow,Operations,Medium,In progress,2026-05-28,2026-06-01 10:15,Pickup slot selection reorder reservation and owner-side capacity-active edits are verified against the companion backend and the owner panel now surfaces remaining capacity plus operator-facing slot state so full or paused windows are clearer; slot operations now also persist operator state pause reason and impacted live-order counts so owners can see the blast radius before or after pausing a window; customer pickup selection is now driven by actual slot timing and slot state with expired paused and full windows blocked explicitly and checkout now recommends the best selectable slot while explaining reservation confidence, bakery-specific checkout now scopes the visible pickup windows to the active cart item's shop instead of assuming shop-1, customer-facing pickup-slot hydration now reads the backend's cross-shop slot set so saved-design reorder can follow the linked bakery cleanly, backend order creation now rejects cross-shop slot/design mismatches, backend fulfillment stamps pickup-first snapshots queues pickup reminder and ready notifications and exposes an explicit owner pickup-completion endpoint that now refuses premature handoff before ready, and the backend seed layer now generates future pickup windows dynamically so the live checkout and reorder path no longer decays into expired-slot behavior after a few days; probe priority now starts from isolated current-source ports through 4204 before older shared ports while shared-store multi-instance drift remains an operational risk
Define delivery strategy,Operations,High,In progress,2026-05-27,2026-06-01 10:30,Delivery planning doc now explicitly separates MVP pickup completion from later delivery work, spells out the actual pickup completion flow and pickup-notification posture, and calls out the next real delivery decision points around eligibility branch timing dispatch notifications proof and fees; the docs now also define the MVP pickup done-definition clearly enough to reject fake delivery wording, while true delivery orchestration dispatch proof settlement and exception handling are still intentionally deferred behind a separate gated branch
Define support/admin tooling,Operations,Medium,In progress,2026-05-28,2026-06-01 10:45,Prototype now surfaces live admin analytics and shop visibility from the local backend alongside owner and staff tools and a small exception center tying queue issues to support visibility; owner ops can now escalate support or request refund review directly from the selected order, append internal exception follow-up notes to the same dispute-backed thread, and mirror support/refund state back onto the order, admin now has a real refund action path that approves or rejects refunds against a dispute while writing decision metadata back to both the dispute and order, disputes now carry a lightweight internal thread with seeded history, live note posting, preview metadata, and verification coverage, and the customer order-history surface now exposes customer-visible support threads plus outbound customer replies while admin can send customer-facing responses from the dispute panel. Broader support resolution workflow depth beyond this threaded reply loop still remains
Define shop pricing model,Business,High,Done,2026-05-27,2026-05-28 09:30,Pricing model doc created
Create revenue projection model,Business,High,Done,2026-05-27,2026-05-28 09:30,Initial numbers created
Create investor/demo framing,Business,High,Done,2026-05-28,2026-05-28 10:45,Investor demo framing doc created with pitch problem solution demo flow and business-model story
Define mobile web app strategy,Product,High,Done,2026-05-27,2026-05-28 09:00,Use mobile web first with app-like UX instead of requiring native app
Set up recurring scheduled review,Execution system,High,Done,2026-05-27,2026-05-28 11:30,Fresh scheduler verification shows 6 enabled OpenClaw cron jobs; keep future claims tied to fresh cron output
Create MVP scope doc,Product,High,Done,2026-05-27,2026-05-28 09:00,Created locally
Create architecture outline,Product,High,Done,2026-05-27,2026-05-28 09:00,Created locally
Create owner/backend scope,Product,High,Done,2026-05-27,2026-05-28 09:30,Owner login panel billing and backend modules documented
Create one-hour CEO plan,Execution system,High,Done,2026-05-27,2026-05-27 22:30,Created locally
Add cake-first layer-first UX direction,Product,High,Done,2026-05-27,2026-05-28 09:00,Prototype direction updated based on user feedback
Add dynamic multi-layer and occasion-first direction,Product,High,Done,2026-05-28,2026-05-31 17:30,Occasion presets now enforce mode-aware cake type and layer behavior, preserve overlapping layer customizations, and the later saved-design continuity gap has now been closed. Follow-on premium/template depth is tracked under broader builder and multi-location work rather than this direction-setting task
